batchnum,loss,cer,time
batch 21600, ctc loss: 1.006440, cer: 0.237341, time/batch:   0.752
batch 21700, ctc loss: 1.014781, cer: 0.236515, time/batch:   0.743
batch 21800, ctc loss: 1.011389, cer: 0.234741, time/batch:   0.753
batch 21900, ctc loss: 1.004845, cer: 0.235112, time/batch:   0.754
batch 22000, ctc loss: 1.010979, cer: 0.234576, time/batch:   0.759
batch 22100, ctc loss: 1.020804, cer: 0.234823, time/batch:   0.751
batch 22200, ctc loss: 1.018919, cer: 0.232925, time/batch:   0.749
batch 22300, ctc loss: 1.001908, cer: 0.231604, time/batch:   0.757
batch 22400, ctc loss: 1.010979, cer: 0.235030, time/batch:   0.761
batch 22500, ctc loss: 1.022116, cer: 0.236268, time/batch:   0.756
batch 22600, ctc loss: 1.011710, cer: 0.237712, time/batch:   0.752
batch 22700, ctc loss: 1.013177, cer: 0.238083, time/batch:   0.759
batch 22800, ctc loss: 0.990642, cer: 0.231357, time/batch:   0.752
batch 22900, ctc loss: 1.000125, cer: 0.235442, time/batch:   0.729
batch 23000, ctc loss: 0.996356, cer: 0.231233, time/batch:   0.737
batch 23100, ctc loss: 0.993823, cer: 0.233998, time/batch:   0.754
batch 23200, ctc loss: 0.992237, cer: 0.232595, time/batch:   0.750
batch 23300, ctc loss: 1.010433, cer: 0.231728, time/batch:   0.732
batch 23400, ctc loss: 1.006775, cer: 0.234534, time/batch:   0.751
batch 23500, ctc loss: 1.013394, cer: 0.234534, time/batch:   0.747
batch 23600, ctc loss: 1.018970, cer: 0.237258, time/batch:   0.745
batch 23700, ctc loss: 1.028257, cer: 0.235318, time/batch:   0.745
batch 23800, ctc loss: 1.007118, cer: 0.236845, time/batch:   0.768
batch 23900, ctc loss: 1.020563, cer: 0.233998, time/batch:   0.747
batch 24000, ctc loss: 1.020720, cer: 0.235855, time/batch:   0.769
batch 24100, ctc loss: 1.015792, cer: 0.234493, time/batch:   0.742
batch 24200, ctc loss: 1.013768, cer: 0.234741, time/batch:   0.747
batch 24300, ctc loss: 1.012313, cer: 0.233296, time/batch:   0.764
batch 24400, ctc loss: 1.041455, cer: 0.236061, time/batch:   0.754
batch 24500, ctc loss: 1.024889, cer: 0.232801, time/batch:   0.763
batch 24600, ctc loss: 1.017184, cer: 0.232677, time/batch:   0.736
batch 24700, ctc loss: 1.026878, cer: 0.233750, time/batch:   0.738
batch 24800, ctc loss: 1.013668, cer: 0.232883, time/batch:   0.750
batch 24900, ctc loss: 1.017135, cer: 0.233337, time/batch:   0.740
batch 25000, ctc loss: 1.019192, cer: 0.231398, time/batch:   0.739
batch 25100, ctc loss: 1.019246, cer: 0.236763, time/batch:   0.770
batch 25200, ctc loss: 1.022430, cer: 0.234534, time/batch:   0.740
batch 25300, ctc loss: 1.032539, cer: 0.236845, time/batch:   0.744
batch 25400, ctc loss: 1.029867, cer: 0.234204, time/batch:   0.742
batch 25500, ctc loss: 1.035764, cer: 0.234906, time/batch:   0.761
batch 25600, ctc loss: 1.026897, cer: 0.235318, time/batch:   0.752
batch 25700, ctc loss: 1.020483, cer: 0.233585, time/batch:   0.755
batch 25800, ctc loss: 1.044825, cer: 0.238207, time/batch:   0.756
batch 25900, ctc loss: 1.038699, cer: 0.234658, time/batch:   0.767
batch 26000, ctc loss: 1.037165, cer: 0.239363, time/batch:   0.760
batch 26100, ctc loss: 1.023336, cer: 0.234163, time/batch:   0.717
batch 26200, ctc loss: 1.030526, cer: 0.235731, time/batch:   0.752
batch 26300, ctc loss: 1.026753, cer: 0.235360, time/batch:   0.733
batch 26400, ctc loss: 1.014304, cer: 0.233379, time/batch:   0.748
batch 26500, ctc loss: 1.016325, cer: 0.232760, time/batch:   0.758
batch 26600, ctc loss: 1.023661, cer: 0.233626, time/batch:   0.745
batch 26700, ctc loss: 1.010584, cer: 0.232842, time/batch:   0.736
batch 26800, ctc loss: 1.024704, cer: 0.233709, time/batch:   0.761
batch 26900, ctc loss: 1.029947, cer: 0.235236, time/batch:   0.745
batch 27000, ctc loss: 1.021697, cer: 0.232058, time/batch:   0.743
batch 27100, ctc loss: 1.014987, cer: 0.229830, time/batch:   0.750
batch 27200, ctc loss: 1.031900, cer: 0.233379, time/batch:   0.748
batch 27300, ctc loss: 1.024573, cer: 0.233131, time/batch:   0.741
batch 27400, ctc loss: 1.041906, cer: 0.234410, time/batch:   0.740
batch 27500, ctc loss: 1.044539, cer: 0.237217, time/batch:   0.747
batch 27600, ctc loss: 1.031147, cer: 0.234204, time/batch:   0.734
batch 27700, ctc loss: 1.038916, cer: 0.234617, time/batch:   0.748
batch 27800, ctc loss: 1.024058, cer: 0.232347, time/batch:   0.751
batch 27900, ctc loss: 1.023810, cer: 0.230861, time/batch:   0.740
batch 28000, ctc loss: 1.029344, cer: 0.232017, time/batch:   0.761
batch 28100, ctc loss: 1.025772, cer: 0.229830, time/batch:   0.753
batch 28200, ctc loss: 1.040163, cer: 0.231769, time/batch:   0.731
