batchnum,loss,cer,time
batch 18500, ctc loss: 1.175185, cer: 0.323883, time/batch:   0.837
batch 18600, ctc loss: 1.169805, cer: 0.323429, time/batch:   0.845
batch 18700, ctc loss: 1.179092, cer: 0.323759, time/batch:   0.854
batch 18800, ctc loss: 1.161228, cer: 0.326606, time/batch:   0.839
batch 18900, ctc loss: 1.156620, cer: 0.321860, time/batch:   0.830
batch 19000, ctc loss: 1.179323, cer: 0.324048, time/batch:   0.836
batch 19100, ctc loss: 1.175245, cer: 0.325162, time/batch:   0.850
batch 19200, ctc loss: 1.163179, cer: 0.321241, time/batch:   0.833
batch 19300, ctc loss: 1.171465, cer: 0.319095, time/batch:   0.846
batch 19400, ctc loss: 1.184991, cer: 0.324172, time/batch:   0.847
batch 19500, ctc loss: 1.174916, cer: 0.325203, time/batch:   0.846
batch 19600, ctc loss: 1.165851, cer: 0.324460, time/batch:   0.845
batch 19700, ctc loss: 1.181941, cer: 0.319013, time/batch:   0.859
batch 19800, ctc loss: 1.169374, cer: 0.317775, time/batch:   0.849
batch 19900, ctc loss: 1.173537, cer: 0.322438, time/batch:   0.822
batch 20000, ctc loss: 1.176729, cer: 0.320787, time/batch:   0.839
batch 20100, ctc loss: 1.179523, cer: 0.323841, time/batch:   0.830
batch 20200, ctc loss: 1.181367, cer: 0.324791, time/batch:   0.848
batch 20300, ctc loss: 1.188674, cer: 0.322851, time/batch:   0.825
batch 20400, ctc loss: 1.183230, cer: 0.319632, time/batch:   0.834
batch 20500, ctc loss: 1.186160, cer: 0.324213, time/batch:   0.862
batch 20600, ctc loss: 1.196407, cer: 0.322975, time/batch:   0.842
batch 20700, ctc loss: 1.195836, cer: 0.317899, time/batch:   0.857
batch 20800, ctc loss: 1.188381, cer: 0.323924, time/batch:   0.848
batch 20900, ctc loss: 1.186862, cer: 0.322727, time/batch:   0.845
batch 21000, ctc loss: 1.184851, cer: 0.327267, time/batch:   0.845
batch 21100, ctc loss: 1.189520, cer: 0.320457, time/batch:   0.835
batch 21200, ctc loss: 1.188237, cer: 0.319384, time/batch:   0.831
batch 21300, ctc loss: 1.194310, cer: 0.322191, time/batch:   0.834
batch 21400, ctc loss: 1.212563, cer: 0.323264, time/batch:   0.818
batch 21500, ctc loss: 1.211199, cer: 0.321406, time/batch:   0.837
batch 21600, ctc loss: 1.218356, cer: 0.320251, time/batch:   0.840
batch 21700, ctc loss: 1.203470, cer: 0.322067, time/batch:   0.835
batch 21800, ctc loss: 1.202239, cer: 0.322727, time/batch:   0.846
batch 21900, ctc loss: 1.204005, cer: 0.322026, time/batch:   0.846
batch 22000, ctc loss: 1.198665, cer: 0.317445, time/batch:   0.851
batch 22100, ctc loss: 1.212804, cer: 0.321613, time/batch:   0.844
batch 22200, ctc loss: 1.210644, cer: 0.325451, time/batch:   0.840
batch 22300, ctc loss: 1.213227, cer: 0.322603, time/batch:   0.846
batch 22400, ctc loss: 1.213589, cer: 0.320457, time/batch:   0.853
batch 22500, ctc loss: 1.225419, cer: 0.315753, time/batch:   0.847
batch 22600, ctc loss: 1.216391, cer: 0.318187, time/batch:   0.847
batch 22700, ctc loss: 1.226858, cer: 0.316991, time/batch:   0.851
batch 22800, ctc loss: 1.213844, cer: 0.319260, time/batch:   0.844
batch 22900, ctc loss: 1.212727, cer: 0.321365, time/batch:   0.824
batch 23000, ctc loss: 1.210268, cer: 0.324708, time/batch:   0.832
batch 23100, ctc loss: 1.209481, cer: 0.324172, time/batch:   0.848
batch 23200, ctc loss: 1.213880, cer: 0.322810, time/batch:   0.843
batch 23300, ctc loss: 1.207798, cer: 0.319508, time/batch:   0.825
batch 23400, ctc loss: 1.204260, cer: 0.319137, time/batch:   0.844
batch 23500, ctc loss: 1.217543, cer: 0.320086, time/batch:   0.842
batch 23600, ctc loss: 1.209340, cer: 0.317610, time/batch:   0.839
batch 23700, ctc loss: 1.210835, cer: 0.315959, time/batch:   0.834
batch 23800, ctc loss: 1.217344, cer: 0.315835, time/batch:   0.858
batch 23900, ctc loss: 1.205176, cer: 0.322521, time/batch:   0.839
batch 24000, ctc loss: 1.214585, cer: 0.320787, time/batch:   0.861
batch 24100, ctc loss: 1.210521, cer: 0.314349, time/batch:   0.839
batch 24200, ctc loss: 1.230501, cer: 0.318559, time/batch:   0.841
batch 24300, ctc loss: 1.221391, cer: 0.317568, time/batch:   0.855
batch 24400, ctc loss: 1.225934, cer: 0.317610, time/batch:   0.849
batch 24500, ctc loss: 1.229112, cer: 0.317775, time/batch:   0.853
batch 24600, ctc loss: 1.224758, cer: 0.319921, time/batch:   0.828
batch 24700, ctc loss: 1.235425, cer: 0.320003, time/batch:   0.830
batch 24800, ctc loss: 1.220614, cer: 0.314226, time/batch:   0.841
batch 24900, ctc loss: 1.221179, cer: 0.318353, time/batch:   0.837
batch 25000, ctc loss: 1.229246, cer: 0.316537, time/batch:   0.832
batch 25100, ctc loss: 1.227408, cer: 0.319921, time/batch:   0.864
batch 25200, ctc loss: 1.237855, cer: 0.317940, time/batch:   0.831
batch 25300, ctc loss: 1.235202, cer: 0.316619, time/batch:   0.836
batch 25400, ctc loss: 1.228552, cer: 0.320622, time/batch:   0.837
batch 25500, ctc loss: 1.238295, cer: 0.320127, time/batch:   0.853
batch 25600, ctc loss: 1.255709, cer: 0.314968, time/batch:   0.848
batch 25700, ctc loss: 1.244036, cer: 0.317032, time/batch:   0.848
batch 25800, ctc loss: 1.248963, cer: 0.317073, time/batch:   0.847
batch 25900, ctc loss: 1.240789, cer: 0.321241, time/batch:   0.860
batch 26000, ctc loss: 1.243156, cer: 0.318848, time/batch:   0.856
batch 26100, ctc loss: 1.239868, cer: 0.319137, time/batch:   0.813
batch 26200, ctc loss: 1.247460, cer: 0.314845, time/batch:   0.844
batch 26300, ctc loss: 1.250263, cer: 0.318435, time/batch:   0.826
batch 26400, ctc loss: 1.231451, cer: 0.316578, time/batch:   0.844
batch 26500, ctc loss: 1.243995, cer: 0.316041, time/batch:   0.850
batch 26600, ctc loss: 1.239918, cer: 0.319879, time/batch:   0.841
batch 26700, ctc loss: 1.244101, cer: 0.314927, time/batch:   0.827
batch 26800, ctc loss: 1.253696, cer: 0.316949, time/batch:   0.851
batch 26900, ctc loss: 1.245155, cer: 0.318353, time/batch:   0.837
batch 27000, ctc loss: 1.253196, cer: 0.319137, time/batch:   0.838
batch 27100, ctc loss: 1.253220, cer: 0.316537, time/batch:   0.843
batch 27200, ctc loss: 1.252743, cer: 0.318353, time/batch:   0.840
batch 27300, ctc loss: 1.256743, cer: 0.317156, time/batch:   0.831
batch 27400, ctc loss: 1.259741, cer: 0.316454, time/batch:   0.837
batch 27500, ctc loss: 1.256011, cer: 0.316248, time/batch:   0.842
batch 27600, ctc loss: 1.258427, cer: 0.319714, time/batch:   0.826
